net,length_um
clknet_2_3__leaf_clk,381.24
clknet_2_0__leaf_clk,374.82
clknet_2_1__leaf_clk,350.27
net164,333.14
net100,332.51
clknet_0_clk,327.73
net101,323.69
net210,318.78
clknet_2_2__leaf_clk,314.38
net82,293.36
net171,290.8
net99,282.56
net8,281.78
net9,278.6
net17,276.94
net34,274.17
net163,257.135
net85,255.525
net89,253.1
net162,252.545
_0700_,251.87
net173,251.58
net80,251.285
net220,250.955
net108,244.73
net165,242.885
net149,242.45
_0628_,241.04
tx.tx_busy,239.1
net168,236.995
_0696_,232.4
net150,231.31
net32,229.73
net170,227.94
parity_en,227.64
net146,225.95
net215,222.53
net158,222.21
net159,221.85
net12,216.56
net240,215.725
_0716_,214.81
net157,214.58
net112,213.98
net104,213.655
net88,213.645
net86,212.99
net7,212.56
net119,210.005
net2,208.9
net115,208.61
net120,208.35
net27,205.8
net19,205.21
parity_type,205.01
net68,204.82
net175,203.19
net106,203.12
net16,201.9
net70,201.47
net93,199.995
net5,199.5
net97,199.43
net62,197.99
_1009_,197.9
net107,197.505
net212,194.82
net98,194.615
net145,192.74
net156,191.08
net105,190.06
net83,186.875
net90,186.2
_0907_,186.07
_0901_,185.91
net31,185.22
net147,184.19
net166,183.97
net176,183.97
net4,183.1
net14,182.32
_1005_,178.93
_0858_,178.57
_0879_,178.37
net148,178.32
_0999_,178.04
net81,177.435
net169,176.125
regs.lcr\[2\],175.31
net161,175.05
net252,174.65
net102,174.51
net151,174.09
net172,173.965
_0896_,173.665
net15,172.26
net18,170.055
net109,169.06
net154,168.64
_0534_,167.47
net167,166.96
net96,165.02
net3,164.9
net118,163.91
data_bits\[0\],163.43
net113,163.32
net114,160.96
net103,159.6
net6,159.36
_0905_,159.34
net11,158.27
_0841_,158.22
net153,156.58
net152,154.88
_0996_,154.62
net72,154.57
net64,154.45
_0535_,153.91
net95,153.5
net54,152.02
_0868_,151.67
net261,151.04
net1,150.15
_0897_,150.09
net29,149.52
clknet_leaf_28_clk,148.84
net237,148.23
data_bits\[1\],148.14
net66,147.12
_1135_,146.23
clknet_leaf_20_clk,146.04
clknet_leaf_16_clk,143.86
_0893_,143.24
net110,142.6
divisor\[5\],140.9
_1125_,140.2
_0906_,139.98
clknet_leaf_39_clk,139.46
net111,138.98
regs.rx_fifo_pop,138.96
_0030_,138.895
clknet_leaf_5_clk,138.86
_0023_,138.345
net10,137.96
net23,137.62
_1004_,136.365
loopback_en,136.3
net28,136.08
clknet_leaf_15_clk,135.44
clknet_leaf_42_clk,135.06
_0866_,133.85
net21,133.685
net61,133.36
_0845_,133.28
clk,133.09
net122,132.6
_0895_,132.52
_0026_,132.405
net246,131.47
net117,130.685
_1132_,130.22
net256,129.725
net30,129.08
net25,127.74
_0872_,127.35
clknet_leaf_1_clk,126.92
net48,126.295
net219,126.12
_0874_,125.8
_0952_,124.77
clknet_leaf_27_clk,124.14
net251,123.81
_0531_,123.55
net186,123.375
net254,123.08
_0891_,121.63
_0908_,121.02
clknet_leaf_17_clk,120.6
net63,119.32
divisor\[6\],119.08
net255,119.01
_0873_,118.02
net43,116.74
net260,116.31
net69,115.895
_0020_,115.475
net182,115.32
net71,115.06
regs.rx_fifo_clear,114.945
_0870_,114.52
_0536_,114.16
_1002_,113.56
_0898_,113.31
clknet_leaf_3_clk,112.95
_0850_,112.62
_0529_,112.51
clknet_leaf_38_clk,112.36
_0876_,111.52
net13,110.62
clknet_leaf_30_clk,110.46
_0860_,110.27
_0884_,109.93
net236,109.635
_0024_,108.615
_0867_,107.84
net124,107.74
net92,107.49
net58,107.155
net250,106.8
net218,106.46
net221,106.25
net259,106.15
net245,105.91
net241,105.8
_0028_,105.55
_0856_,105.1
net235,105.08
clknet_leaf_7_clk,104.64
_0889_,104.41
_0903_,103.8
net45,103.795
clknet_leaf_41_clk,103.56
_0021_,103.035
regs.oe,102.37
net244,102.24
net22,101.88
clknet_leaf_6_clk,101.43
net126,100.56
net20,100.44
_0900_,99.5
net41,99.155
net67,98.86
net76,98.84
net123,98.7
